frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,false,0.211753979,0.035231411,0.015490331,0.070634224,0.013718838,-0.077888183,0.994362116
1,0.016683,2,false,false,0.208058551,0.032768164,0.011938752,-0.069092527,-0.014369076,0.078299738,-0.994428933
2,0.033367,2,false,false,0.210338041,0.034897067,0.015366117,-0.070588358,-0.013648531,0.078698397,-0.994302571
3,0.050050,2,false,false,0.210378245,0.034830026,0.015564869,-0.070639111,-0.013571171,0.079101846,-0.994268060
4,0.066733,2,false,false,0.210403234,0.034779277,0.015796265,-0.070857681,-0.013422982,0.079627082,-0.994212568
5,0.083417,2,false,false,0.210341692,0.034780532,0.015951641,-0.071029253,-0.013308351,0.080052875,-0.994167686
6,0.100100,2,false,false,0.210356563,0.034724616,0.015995312,-0.071135014,-0.013129132,0.080372266,-0.994136751
7,0.116783,2,false,false,0.209594116,0.034557983,0.016140431,-0.070849031,-0.013219878,0.080777459,-0.994123161
8,0.133467,2,false,true,0.208106682,0.034636937,0.015818957,0.071185946,0.012646524,-0.081100591,0.994080186
9,0.150150,2,false,false,0.207797915,0.034800526,0.016077340,0.071262710,0.012400704,-0.081606798,0.994036317
10,0.166833,2,false,false,0.207495779,0.034933541,0.016554007,0.071270399,0.012123351,-0.081994303,0.994007349
11,0.183517,2,false,false,0.207212895,0.034987193,0.016924907,0.071252584,0.011873947,-0.082452469,0.993973732
12,0.200200,2,false,false,0.207170859,0.034999676,0.017286386,0.071118765,0.011717658,-0.082767770,0.993958950
13,0.216883,2,false,false,0.206955105,0.035043132,0.017550288,0.071075514,0.011362695,-0.082900234,0.993955135
14,0.233567,2,false,false,0.210700005,0.033121251,0.017961673,-0.071339339,-0.009607144,0.081689656,-0.994054973
15,0.250250,2,false,false,0.209653750,0.034659375,0.016562728,0.071298443,0.010172570,-0.082430020,0.993991137
16,0.266933,2,false,false,0.209706694,0.034724809,0.016353667,0.071927696,0.009766971,-0.082064040,0.993980169
17,0.283617,2,false,false,0.210072771,0.035053026,0.016156610,0.072430067,0.009300414,-0.081659518,0.993981481
18,0.300300,2,false,false,0.210394353,0.035084058,0.016109124,0.072756670,0.008693677,-0.081393681,0.993984878
19,0.316983,2,false,false,0.210977167,0.034262788,0.016765891,0.072770372,0.007894810,-0.080975443,0.994024694
