frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,false,0.132294536,-0.038814720,-0.052167218,0.035094604,-0.003881146,-0.101575628,0.994201064
1,0.016683,2,false,false,0.132725388,-0.037135672,-0.051860455,-0.035184152,0.004222595,0.101730362,-0.994180679
2,0.033367,2,false,false,0.121010527,-0.043919370,-0.055259656,-0.032203089,0.002627470,0.100770064,-0.994384944
3,0.050050,2,false,false,0.120867416,-0.044039242,-0.054758377,-0.031493895,0.003097957,0.100962304,-0.994386852
4,0.066733,2,false,false,0.120748296,-0.044300791,-0.053963725,-0.030683286,0.003439062,0.101078376,-0.994399309
5,0.083417,2,false,false,0.120479994,-0.044858102,-0.052804325,-0.029897064,0.003862032,0.101130769,-0.994416356
6,0.100100,2,false,true,0.116740897,-0.043295987,-0.047163747,0.029528799,-0.003574800,-0.100975558,0.994444191
7,0.116783,2,false,false,0.116185702,-0.044249084,-0.045173030,0.028729849,-0.004106814,-0.100752853,0.994488120
8,0.133467,2,false,false,0.115978725,-0.045150109,-0.043023109,0.027844509,-0.004651389,-0.100414857,0.994545102
9,0.150150,2,false,false,0.115807422,-0.046058178,-0.040933821,0.027216244,-0.005228958,-0.099771217,0.994624376
10,0.166833,2,false,false,0.115415715,-0.046633415,-0.038843758,0.027078114,-0.005962202,-0.098988578,0.994702220
11,0.183517,2,false,false,0.114954852,-0.046875313,-0.036451843,0.027374802,-0.006730980,-0.097880661,0.994798899
12,0.200200,2,false,false,0.113978140,-0.047263265,-0.034344450,0.027973011,-0.007446608,-0.096343070,0.994927227
13,0.216883,2,false,true,0.112089194,-0.044085696,-0.033874031,0.029322930,-0.007560629,-0.094589382,0.995055735
14,0.233567,2,false,false,0.111557327,-0.044527646,-0.032215130,0.029284114,-0.008127593,-0.093188643,0.995184600
15,0.250250,2,false,false,0.111466847,-0.044844586,-0.030402625,0.028888384,-0.008598880,-0.092099279,0.995293558
16,0.266933,2,false,false,0.111045666,-0.045133341,-0.027894782,0.028304383,-0.008912695,-0.091054440,0.995403767
17,0.283617,2,false,false,0.110198013,-0.045156844,-0.024993455,0.028042329,-0.009201474,-0.089765839,0.995525539
18,0.300300,2,false,false,0.111603417,-0.047041111,-0.027035205,-0.027235555,0.010242831,0.088468455,-0.995653927
19,0.316983,2,false,false,0.107885242,-0.045470629,-0.020117553,0.027747925,-0.009681113,-0.086698636,0.995801032
20,0.333667,2,false,false,0.107218392,-0.045203160,-0.017777165,0.027566658,-0.010138679,-0.085132115,0.995936692
21,0.350350,2,false,false,0.106435210,-0.045161001,-0.015507534,0.027451398,-0.010707187,-0.083580233,0.996065319
22,0.367033,2,false,false,0.105528630,-0.045203429,-0.012956244,0.027359867,-0.011309643,-0.082127661,0.996182024
23,0.383717,2,false,false,0.104696132,-0.045317147,-0.010330950,0.027260397,-0.011649927,-0.080606006,0.996305108
24,0.400400,2,false,false,0.103929326,-0.045320254,-0.007649516,0.026957821,-0.012030094,-0.079209134,0.996420860
25,0.417083,2,false,false,0.104176752,-0.047792561,-0.005339048,0.026004560,-0.012317156,-0.078169003,0.996524811
26,0.433767,2,false,false,0.103343122,-0.047640663,-0.002727486,0.025749370,-0.012753475,-0.076890968,0.996625364
27,0.450450,2,false,false,0.102449834,-0.047527201,-0.000190808,0.025646783,-0.013016749,-0.075903088,0.996700287
28,0.467133,2,false,false,0.101544030,-0.047655698,0.002520157,0.025663441,-0.013332894,-0.075142659,0.996753395
29,0.483817,2,false,false,0.100614734,-0.047834005,0.005324636,0.025867747,-0.013766522,-0.074820362,0.996766448
30,0.500500,2,false,false,0.099583343,-0.049052265,0.008085539,-0.026150370,0.013928223,0.074483417,-0.996782064
31,0.517183,2,false,true,0.090553381,-0.047856059,0.026279671,0.028774481,-0.011991780,-0.074292108,0.996749163
32,0.533867,2,false,false,0.089383058,-0.048129566,0.029155975,0.029463036,-0.012508337,-0.074771255,0.996686935
33,0.550550,2,false,false,0.088249058,-0.048161846,0.032332905,0.029713681,-0.012784217,-0.075505443,0.996620595
34,0.567233,2,false,false,0.087048650,-0.048088379,0.035632137,0.029624850,-0.012750529,-0.076506861,0.996547282
35,0.583917,2,false,false,0.085736200,-0.048230544,0.039038893,0.029343117,-0.012707756,-0.077558257,0.996474922
36,0.600600,2,false,false,0.084201127,-0.048278116,0.042745680,0.029069887,-0.012635641,-0.078433856,0.996415257
37,0.617283,2,false,false,0.083022378,-0.048202436,0.046177488,0.029116556,-0.013085893,-0.079248130,0.996343672
38,0.633967,2,false,false,0.073456749,-0.046970315,0.061414640,0.030841675,-0.011162716,-0.079759523,0.996274412
39,0.650650,2,false,false,0.072008774,-0.046703707,0.065708764,0.031420939,-0.012375438,-0.080991365,0.996142566
40,0.667333,2,false,false,0.070452221,-0.046498779,0.069810860,0.031721886,-0.013314969,-0.082483292,0.995998502
41,0.684017,2,false,false,0.068775699,-0.046230692,0.074555352,0.031633757,-0.014037039,-0.083962761,0.995867789
42,0.700700,2,false,false,0.067425393,-0.045834426,0.078981742,0.031053135,-0.014467569,-0.085163981,0.995777905
43,0.717383,2,false,false,0.061622735,-0.044524241,0.088656463,0.030419966,-0.012672302,-0.086479649,0.995708466
44,0.734067,2,false,false,0.059999269,-0.043874294,0.093602665,0.029153533,-0.013156469,-0.087191403,0.995678067
45,0.750750,2,false,false,0.058379289,-0.043245375,0.098484538,0.027781980,-0.013749258,-0.087866262,0.995649874
46,0.767433,2,false,false,0.056778163,-0.042579446,0.103355959,0.026531486,-0.014740732,-0.088246748,0.995636165
47,0.784117,2,false,false,0.055310018,-0.041890305,0.108039737,0.025497731,-0.016031390,-0.088649027,0.995607436
48,0.800800,2,false,false,0.053762492,-0.041393556,0.112573110,0.024333017,-0.017275382,-0.088926777,0.995591044
49,0.817483,2,false,false,0.052022316,-0.040943727,0.116996251,0.023094472,-0.018523172,-0.089265250,0.995567799
50,0.834167,2,false,false,0.050361376,-0.040630195,0.121345423,0.021636838,-0.019743668,-0.089756861,0.995532930
51,0.850850,2,false,false,0.057259422,-0.041896977,0.108674526,-0.018283827,0.022398530,0.091388442,-0.995395482
52,0.867533,2,false,false,0.038415495,-0.034876864,0.142255917,0.020967765,-0.017687039,-0.091102883,0.995463669
53,0.884217,2,false,false,0.036424510,-0.034544434,0.147183731,0.019553555,-0.018284218,-0.092139117,0.995386243
54,0.900900,2,false,false,0.034512579,-0.033995431,0.151704729,0.017996920,-0.018668501,-0.093288548,0.995301485
