frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,false,0.181183383,-0.009887191,-0.077605933,0.090396039,0.004295859,-0.031042434,0.995412707
1,0.016683,2,false,false,0.179457560,-0.009158855,-0.077003032,-0.090535358,-0.005273084,0.031007925,-0.995396435
2,0.033367,2,false,false,0.184579089,-0.010727820,-0.081534751,-0.089587390,-0.004653501,0.031038962,-0.995484352
3,0.050050,2,false,false,0.184736416,-0.010820356,-0.081290834,-0.089446023,-0.005434845,0.030531162,-0.995508850
4,0.066733,2,false,false,0.184900671,-0.010938242,-0.081005991,-0.089045569,-0.006229945,0.029979996,-0.995556772
5,0.083417,2,false,false,0.185039356,-0.011044500,-0.080781579,-0.088535942,-0.007057999,0.029505160,-0.995610952
6,0.100100,2,false,false,0.185353249,-0.011369969,-0.080583267,-0.088089176,-0.007832455,0.028960967,-0.995660722
7,0.116783,2,false,false,0.185802221,-0.011692150,-0.080383822,-0.087728597,-0.008416498,0.028453099,-0.995702446
8,0.133467,2,false,true,0.189491078,-0.010555320,-0.075367711,0.088396564,0.008746058,-0.028423235,0.995641351
9,0.150150,2,false,false,0.189762309,-0.010779801,-0.074909970,0.088325933,0.009332190,-0.027910769,0.995656848
10,0.166833,2,false,false,0.190176830,-0.010786794,-0.074293122,0.088376224,0.009908517,-0.027547810,0.995656908
11,0.183517,2,false,false,0.190461963,-0.010839786,-0.073750608,0.088258453,0.010418064,-0.027611317,0.995660365
12,0.200200,2,false,false,0.190569460,-0.011322036,-0.072468616,-0.088076085,-0.011184999,0.027793759,-0.995663166
13,0.216883,2,false,true,0.192745507,-0.010044060,-0.072072610,0.088220797,0.011522911,-0.028225720,0.995634317
14,0.233567,2,false,false,0.193048522,-0.010260764,-0.071189001,0.087866604,0.012354501,-0.028731300,0.995641232
15,0.250250,2,false,false,0.193422973,-0.010336176,-0.069976076,0.087608054,0.013513886,-0.029069128,0.995639145
16,0.266933,2,false,false,0.193897605,-0.010462697,-0.068651289,0.087506600,0.015048316,-0.029236345,0.995621145
17,0.283617,2,false,false,0.194711953,-0.010487862,-0.067017294,0.087740041,0.016799318,-0.029112337,0.995576203
18,0.300300,2,false,false,0.195771247,-0.010616487,-0.065652192,0.087911718,0.018794658,-0.028818127,0.995534003
19,0.316983,2,false,false,0.187181503,-0.011113169,-0.073483683,0.086634323,0.021849683,-0.027513519,0.995620489
20,0.333667,2,false,false,0.188099205,-0.011259917,-0.072584912,0.086161382,0.023732731,-0.027614512,0.995615661
21,0.350350,2,false,false,0.189063996,-0.011819625,-0.071599789,0.085226223,0.025552550,-0.028343942,0.995630622
22,0.367033,2,false,false,0.190099552,-0.012353638,-0.070117734,0.084238425,0.027132291,-0.029664889,0.995634317
23,0.383717,2,false,false,0.191057578,-0.012799297,-0.068711899,0.083052546,0.028109103,-0.031339206,0.995655596
24,0.400400,2,false,false,0.192042425,-0.013125536,-0.067282297,0.082173184,0.028898796,-0.032825917,0.995658040
25,0.417083,2,false,false,0.187068462,-0.009189254,-0.063037634,0.082574487,0.030611018,-0.033544440,0.995549738
26,0.433767,2,false,false,0.187353864,-0.009380402,-0.061846428,0.081912063,0.031270441,-0.034234684,0.995560467
27,0.450450,2,false,false,0.187564671,-0.009501215,-0.061020289,0.081217356,0.031746138,-0.034640975,0.995588243
28,0.467133,2,false,false,0.187821731,-0.009689728,-0.059926715,0.080594271,0.032208577,-0.034872368,0.995616019
29,0.483817,2,false,false,0.188164845,-0.009781117,-0.058612168,0.079923250,0.032379504,-0.034897212,0.995663643
30,0.500500,2,false,false,0.185984299,-0.008977085,-0.062060751,-0.078994423,-0.032613430,0.034808774,-0.995733202
31,0.517183,2,false,false,0.197665915,-0.006984476,-0.044954538,0.081246279,0.032305982,-0.035313804,0.995544255
32,0.533867,2,false,false,0.198110729,-0.007634551,-0.043762878,0.080398537,0.032786466,-0.034314696,0.995632291
33,0.550550,2,false,false,0.198542506,-0.008152138,-0.042643413,0.079456545,0.033444509,-0.032917075,0.995733202
34,0.567233,2,false,false,0.199310064,-0.008571083,-0.041188084,0.078352071,0.034228086,-0.031432517,0.995842040
35,0.583917,2,false,false,0.200054094,-0.009095137,-0.039460547,0.077119686,0.034994282,-0.030062433,0.995953918
