frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,false,0.137743026,-0.009618817,-0.035295498,0.036789916,0.008960035,-0.070995525,0.996757686
1,0.016683,2,false,false,0.140165895,0.000032746,-0.030079231,-0.040043376,-0.007924677,0.071234696,-0.996623993
2,0.033367,2,false,false,0.135536224,-0.008601039,-0.033748940,-0.036345057,-0.009463382,0.071237735,-0.996752083
3,0.050050,2,false,false,0.135327727,-0.008689473,-0.033369839,-0.035482440,-0.009438534,0.071890242,-0.996736526
4,0.066733,2,false,false,0.134963334,-0.008991470,-0.032939222,-0.034647718,-0.009279006,0.072563685,-0.996718645
5,0.083417,2,false,false,0.134536028,-0.009282141,-0.032536741,-0.033734970,-0.009056039,0.073358573,-0.996693790
6,0.100100,2,false,false,0.134171858,-0.009507936,-0.032164901,-0.032988757,-0.008705821,0.074136287,-0.996664345
7,0.116783,2,false,false,0.133818328,-0.009560132,-0.031482570,-0.032340132,-0.008360757,0.074711852,-0.996645570
8,0.133467,2,false,true,0.130952254,-0.007146561,-0.024083981,0.032700881,0.008160002,-0.075102627,0.996606112
9,0.150150,2,false,false,0.130845651,-0.007228251,-0.023084089,0.031665429,0.007569061,-0.075559109,0.996609688
10,0.166833,2,false,false,0.130563527,-0.007362807,-0.021668775,0.030680809,0.007003834,-0.075986028,0.996612132
11,0.183517,2,false,false,0.130260542,-0.007272946,-0.021099990,-0.029649636,-0.006441679,0.076278992,-0.996624827
12,0.200200,2,false,true,0.128256649,-0.005750204,-0.018295970,0.028885009,0.006339713,-0.076550625,0.996627092
13,0.216883,2,false,false,0.133054197,-0.009972795,-0.024781773,-0.026491906,-0.004517420,0.076821461,-0.996682703
14,0.233567,2,false,false,0.127805516,-0.006229913,-0.014924946,0.026334558,0.005210997,-0.077214226,0.996653020
15,0.250250,2,false,false,0.127636954,-0.006506826,-0.012916938,0.025038598,0.004663927,-0.077483520,0.996668279
16,0.266933,2,false,false,0.133395031,-0.009998395,-0.027946014,-0.022216214,-0.001691052,0.077844083,-0.996716619
17,0.283617,2,false,false,0.131596431,-0.000920393,-0.011013338,0.024062067,0.002607524,-0.078641288,0.996609211
18,0.300300,2,false,false,0.130774900,-0.001261117,-0.009864637,0.022649977,0.002196853,-0.079244070,0.996595502
19,0.316983,2,false,false,0.130067974,-0.001532503,-0.009020803,0.021212902,0.001804971,-0.079933815,0.996572793
20,0.333667,2,false,false,0.129785895,-0.001909847,-0.007657439,0.019755431,0.001526734,-0.080633096,0.996546924
21,0.350350,2,false,false,0.129455820,-0.002445376,-0.006041743,0.018341146,0.001091161,-0.081299104,0.996520400
22,0.367033,2,false,false,0.121398501,-0.003029476,-0.001664007,0.017136641,0.002266908,-0.081335403,0.996536911
23,0.383717,2,false,false,0.120919943,-0.002454394,-0.000342769,0.016003178,0.001933049,-0.081918903,0.996508718
24,0.400400,2,false,false,0.120553024,-0.002264150,0.001501632,0.015124040,0.001543385,-0.082417317,0.996481955
25,0.417083,2,false,false,0.120100133,-0.002036912,0.003614772,0.014490356,0.001009807,-0.082666725,0.996471405
26,0.433767,2,false,false,0.119481526,-0.002098541,0.005943801,0.014113893,0.000668686,-0.082672961,0.996476591
27,0.450450,2,false,false,0.118817456,-0.002232364,0.008635444,0.013591577,0.000373381,-0.082701370,0.996481657
28,0.467133,2,false,false,0.116386183,0.000134785,0.011422805,0.013785060,0.000361423,-0.082456388,0.996499300
29,0.483817,2,false,false,0.115939543,-0.000273111,0.014030621,0.012838426,0.000215886,-0.082740702,0.996488392
30,0.500500,2,false,false,0.116008118,0.000950916,0.014859314,0.011754054,-0.000066440,-0.083173357,0.996465802
31,0.517183,2,false,false,0.115937874,0.001008717,0.016293958,0.010696737,-0.000471982,-0.083584018,0.996443272
32,0.533867,2,false,false,0.115743957,0.001172692,0.017844483,0.009427927,-0.000540014,-0.084063739,0.996415675
33,0.550550,2,false,false,0.115417421,0.001644654,0.019850794,0.008313870,-0.000285729,-0.084555984,0.996384025
34,0.567233,2,false,false,0.115054719,0.002006828,0.021740682,0.007072967,-0.000098865,-0.084968068,0.996358633
35,0.583917,2,false,false,0.114184804,0.001906251,0.024991790,-0.006195559,-0.000315892,0.085208192,-0.996343851
36,0.600600,2,false,false,0.111247003,0.001775620,0.031871758,0.005312822,0.001515510,-0.085284501,0.996341348
37,0.617283,2,false,false,0.110784143,0.002322064,0.034589134,0.003958921,0.001641012,-0.085394546,0.996338069
38,0.633967,2,false,false,0.110597759,0.002773439,0.036768213,0.002067509,0.001743374,-0.085373566,0.996345341
39,0.650650,2,false,false,0.110329442,0.003086961,0.039192099,-0.000044221,0.001940398,-0.085291460,0.996354222
40,0.667333,2,false,false,0.110075720,0.003399693,0.041668247,-0.002197723,0.001884673,-0.085062422,0.996371388
41,0.684017,2,false,false,0.109832704,0.003677416,0.044007491,-0.004094732,0.001671208,-0.084743626,0.996393025
42,0.700700,2,false,false,0.108536154,0.003376896,0.046790443,0.005681552,-0.001331155,0.084264226,-0.996426404
43,0.717383,2,false,true,0.105139650,0.006387066,0.055552650,-0.005620229,0.001474817,-0.083335847,0.996504664
44,0.734067,2,false,false,0.104477920,0.006876313,0.057984598,-0.006400027,0.001183289,-0.083044246,0.996524632
45,0.750750,2,false,false,0.103973553,0.007300631,0.060225900,-0.006925398,0.000979498,-0.082279310,0.996584773
46,0.767433,2,false,false,0.103410490,0.007621161,0.062467299,-0.007150657,0.001101250,-0.081189044,0.996672511
47,0.784117,2,false,false,0.103207611,0.007981421,0.064678721,-0.007160097,0.001741037,-0.080079898,0.996761262
48,0.800800,2,false,false,0.102959841,0.008371348,0.067009136,-0.007260218,0.002488459,-0.079185136,0.996830404
49,0.817483,2,false,false,0.101940386,0.007230286,0.068147801,0.008613876,-0.003381302,0.078560501,-0.996866465
50,0.834167,2,false,false,0.101646110,0.007770509,0.070954718,0.008786475,-0.004212843,0.078742333,-0.996847391
51,0.850850,2,false,false,0.101232454,0.008351849,0.073736325,0.008821092,-0.005082179,0.079035662,-0.996819794
52,0.867533,2,false,false,0.100688338,0.008698172,0.076642498,0.009101805,-0.005818266,0.079514071,-0.996775210
